Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Cuba,97.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0
Cyprus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Czechia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Democratic People's Republic of Korea,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0
Democratic Republic of the Congo,46.0,45.0,45.0,44.0,43.0,43.0,42.0,41.0,41.0,40.0,40.0,39.0,38.0,38.0,37.0,37.0,36.0,35.0,35.0,34.0,34.0
Denmark,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Djibouti,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,75.0,75.0,75.0,75.0
Dominican Republic,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0
Ecuador,95.0,95.0,95.0,94.0,94.0,93.0,92.0,92.0,91.0,90.0,90.0,89.0,88.0,87.0,87.0,86.0,85.0,85.0,84.0,83.0,82.0
Egypt,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
El Salvador,98.0,98.0,98.0,97.0,97.0,96.0,94.0,93.0,92.0,91.0,90.0,88.0,87.0,86.0,85.0,83.0,82.0,81.0,80.0,78.0,78.0
Equatorial Guinea,,,,65.0,64.0,64.0,64.0,64.0,63.0,62.0,60.0,59.0,58.0,57.0,56.0,55.0,54.0,53.0,53.0,52.0,51.0
Eritrea,,,,,52.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,48.0,48.0,48.0,47.0,47.0,47.0
Estonia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Eswatini,71.0,71.0,70.0,69.0,68.0,67.0,66.0,65.0,64.0,63.0,62.0,61.0,60.0,59.0,58.0,58.0,57.0,56.0,55.0,54.0,53.0
Ethiopia,50.0,48.0,47.0,45.0,44.0,42.0,41.0,39.0,37.0,36.0,34.0,33.0,31.0,29.0,28.0,26.0,25.0,23.0,21.0,20.0,18.0
Fiji,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
Finland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
France,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gabon,85.0,85.0,85.0,85.0,84.0,84.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,81.0
Gambia,81.0,81.0,80.0,80.0,80.0,79.0,79.0,79.0,78.0,78.0,77.0,77.0,77.0,76.0,76.0,76.0,75.0,75.0,75.0,74.0,74.0
Georgia,97.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0
Germany,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ghana,86.0,85.0,84.0,82.0,81.0,80.0,79.0,78.0,77.0,76.0,75.0,73.0,72.0,71.0,70.0,69.0,68.0,67.0,66.0,65.0,64.0
Greece,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Grenada,,,,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,93.0
Guatemala,94.0,94.0,93.0,93.0,92.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0,90.0,89.0,89.0,88.0,88.0,88.0,87.0,87.0,86.0
Guinea,64.0,64.0,64.0,64.0,64.0,64.0,63.0,63.0,63.0,63.0,63.0,62.0,61.0,60.0,59.0,58.0,57.0,56.0,55.0,54.0,53.0
Guinea-Bissau,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0
Guyana,96.0,96.0,96.0,96.0,96.0,95.0,95.0,94.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,90.0,89.0,89.0,88.0,88.0
Haiti,67.0,66.0,66.0,65.0,65.0,65.0,64.0,64.0,63.0,63.0,62.0,62.0,61.0,61.0,60.0,60.0,59.0,59.0,58.0,57.0,56.0
Honduras,96.0,95.0,95.0,94.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,86.0,85.0
Hungary,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Iceland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
India,90.0,90.0,90.0,89.0,89.0,88.0,88.0,87.0,87.0,86.0,86.0,85.0,85.0,84.0,84.0,83.0,83.0,82.0,82.0,81.0,80.0
Indonesia,92.0,92.0,91.0,90.0,89.0,89.0,88.0,87.0,86.0,85.0,84.0,84.0,83.0,82.0,81.0,80.0,79.0,78.0,77.0,76.0,75.0
Iran (Islamic Republic of),97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0
Iraq,98.0,98.0,97.0,96.0,95.0,94.0,93.0,92.0,92.0,91.0,90.0,89.0,88.0,87.0,86.0,85.0,84.0,84.0,83.0,82.0,81.0
Ireland,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Israel,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Italy,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Jamaica,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,93.0,93.0,93.0
Japan,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0
Jordan,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Kazakhstan,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,92.0,91.0,91.0,91.0,90.0
Kenya,62.0,61.0,60.0,60.0,59.0,58.0,57.0,57.0,56.0,55.0,55.0,54.0,53.0,52.0,52.0,51.0,50.0,50.0,49.0,48.0,47.0
Kiribati,78.0,77.0,76.0,76.0,75.0,74.0,73.0,72.0,71.0,70.0,69.0,69.0,68.0,66.0,65.0,64.0,63.0,63.0,62.0,61.0,60.0
Kuwait,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kyrgyzstan,92.0,91.0,90.0,90.0,89.0,88.0,88.0,87.0,87.0,86.0,85.0,85.0,84.0,84.0,83.0,82.0,82.0,81.0,81.0,80.0,80.0
Lao People's Democratic Republic,85.0,85.0,83.0,81.0,80.0,77.0,76.0,74.0,72.0,70.0,68.0,66.0,64.0,62.0,60.0,58.0,56.0,53.0,51.0,49.0,46.0
Latvia,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Lebanon,93.0,93.0,92.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0,89.0,89.0,89.0,88.0,88.0,88.0,87.0,87.0,87.0,86.0,86.0
Lesotho,72.0,72.0,72.0,71.0,71.0,71.0,70.0,70.0,70.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,66.0,66.0
Liberia,75.0,75.0,74.0,74.0,73.0,73.0,72.0,71.0,71.0,70.0,70.0,69.0,68.0,68.0,67.0,66.0,65.0,64.0,64.0,63.0,62.0
Libya,100.0,100.0,100.0,99.0,98.0,97.0,96.0,96.0,95.0,94.0,93.0,92.0,91.0,90.0,89.0,89.0,88.0,87.0,86.0,85.0,84.0
Lithuania,98.0,98.0,98.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,94.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0
Luxembourg,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Madagascar,53.0,52.0,52.0,51.0,50.0,49.0,48.0,47.0,46.0,45.0,44.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,36.0
Malawi,70.0,69.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,63.0,62.0,61.0,61.0,60.0,59.0,58.0,57.0,56.0,56.0,55.0,54.0
Malaysia,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Maldives,100.0,100.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0
Mali,83.0,81.0,79.0,78.0,76.0,74.0,73.0,71.0,69.0,68.0,66.0,64.0,63.0,61.0,59.0,58.0,56.0,54.0,53.0,51.0,49.0
Malta,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mauritania,72.0,71.0,71.0,71.0,69.0,67.0,65.0,63.0,61.0,60.0,58.0,56.0,54.0,52.0,51.0,49.0,47.0,45.0,44.0,42.0,41.0
Mauritius,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0
Mexico,100.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,94.0,94.0,93.0,92.0,92.0,91.0,91.0,90.0
Micronesia (Federated States of),,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0,85.0
Mongolia,85.0,85.0,84.0,83.0,82.0,81.0,80.0,79.0,78.0,77.0,76.0,75.0,73.0,72.0,71.0,69.0,68.0,66.0,65.0,64.0,62.0
Montenegro,99.0,99.0,99.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,,,,,,
Morocco,90.0,89.0,88.0,86.0,85.0,84.0,82.0,81.0,80.0,78.0,77.0,75.0,74.0,72.0,71.0,69.0,68.0,66.0,65.0,64.0,62.0
Mozambique,63.0,61.0,58.0,56.0,54.0,51.0,49.0,47.0,44.0,42.0,40.0,38.0,35.0,33.0,31.0,29.0,28.0,26.0,24.0,22.0,21.0
Myanmar,84.0,82.0,80.0,78.0,76.0,74.0,72.0,70.0,68.0,66.0,64.0,62.0,60.0,59.0,57.0,55.0,54.0,52.0,50.0,49.0,47.0
Namibia,84.0,84.0,84.0,83.0,83.0,83.0,82.0,82.0,81.0,81.0,81.0,80.0,80.0,79.0,79.0,78.0,78.0,78.0,77.0,77.0,76.0
Nepal,90.0,90.0,89.0,89.0,88.0,88.0,87.0,87.0,86.0,86.0,85.0,85.0,84.0,84.0,83.0,83.0,82.0,82.0,81.0,81.0,80.0
Netherlands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
New Zealand,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nicaragua,82.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
Niger,47.0,47.0,46.0,46.0,46.0,45.0,45.0,45.0,44.0,44.0,43.0,43.0,42.0,42.0,41.0,41.0,40.0,39.0,38.0,38.0,37.0
Nigeria,78.0,76.0,74.0,72.0,71.0,69.0,67.0,65.0,64.0,62.0,60.0,58.0,57.0,55.0,53.0,51.0,50.0,48.0,46.0,45.0,43.0
Norway,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Oman,92.0,92.0,92.0,91.0,91.0,90.0,90.0,89.0,89.0,88.0,88.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
Pakistan,90.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.0,87.0
Panama,94.0,94.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,92.0,92.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0
Papua New Guinea,45.0,45.0,44.0,43.0,42.0,41.0,41.0,40.0,39.0,38.0,38.0,37.0,36.0,35.0,35.0,34.0,33.0,33.0,33.0,33.0,33.0
Paraguay,100.0,100.0,100.0,99.0,98.0,97.0,96.0,94.0,93.0,92.0,90.0,89.0,88.0,86.0,85.0,83.0,82.0,80.0,79.0,77.0,76.0
Peru,93.0,93.0,92.0,91.0,91.0,90.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,85.0,85.0,84.0,83.0,83.0,82.0,81.0,80.0
Philippines,94.0,94.0,93.0,93.0,92.0,92.0,92.0,91.0,91.0,90.0,90.0,90.0,89.0,89.0,88.0,88.0,88.0,87.0,87.0,86.0,86.0
Poland,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,,,,
Portugal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Qatar,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Republic of Korea,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
Republic of Moldova,91.0,90.0,90.0,89.0,89.0,89.0,88.0,88.0,87.0,87.0,87.0,86.0,86.0,85.0,85.0,85.0,84.0,84.0,84.0,83.0,83.0
North Macedonia,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Romania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Russian Federation,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0
Rwanda,60.0,60.0,60.0,59.0,58.0,57.0,56.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,50.0,49.0,49.0,48.0,47.0,46.0,45.0
Saint Lucia,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0,90.0
Saint Vincent and the Grenadines,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0
Samoa,92.0,92.0,92.0,92.0,92.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Sao Tome and Principe,78.0,78.0,78.0,78.0,78.0,77.0,77.0,76.0,76.0,75.0,74.0,74.0,73.0,73.0,72.0,71.0,71.0,70.0,69.0,69.0,68.0
Saudi Arabia,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0
Senegal,85.0,84.0,82.0,81.0,80.0,79.0,77.0,76.0,75.0,74.0,72.0,71.0,70.0,68.0,67.0,66.0,65.0,63.0,62.0,61.0,60.0
Serbia,95.0,95.0,95.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0,90.0,89.0,89.0,89.0,89.0,89.0
Seychelles,,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,93.0
Sierra Leone,64.0,63.0,61.0,60.0,59.0,58.0,57.0,55.0,54.0,53.0,52.0,51.0,49.0,48.0,47.0,46.0,44.0,43.0,42.0,41.0,41.0
Singapore,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Slovakia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Slovenia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Solomon Islands,67.0,67.0,67.0,68.0,69.0,69.0,70.0,71.0,72.0,73.0,74.0,74.0,75.0,76.0,77.0,78.0,79.0,79.0,79.0,79.0,79.0
Somalia,56.0,55.0,53.0,52.0,50.0,49.0,47.0,46.0,44.0,42.0,40.0,38.0,36.0,34.0,34.0,32.0,30.0,29.0,27.0,25.0,24.0
South Africa,94.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0,89.0,89.0,88.0,88.0,87.0,87.0,86.0,86.0,85.0,84.0
South Sudan,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,,
Spain,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Sri Lanka,92.0,92.0,92.0,92.0,91.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,85.0,85.0,84.0,83.0,83.0,82.0,81.0,81.0,80.0
